alias_ratio_id,canonical_ratio_id,duplicate_alias_type,stage3_exclude,active,reason,source,policy_note
R003,R002,exact_value_alias,True,True,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R004,R002,exact_value_alias,True,True,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R014,R013,exact_value_alias,True,True,EBIT/총자산 maps to the same executable formula as 영업이익/총자산.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R216,R010,exact_value_alias,True,True,OCF/매출액 is identical to 영업현금흐름마진.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R211,R064,exact_value_alias,True,True,Altman 이익잉여금/총자산 is identical to 이익잉여금/총자산.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R118,R076,exact_value_alias,True,True,순운전자본비율 is identical to 순운전자본/총자산.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R210,R076,exact_value_alias,True,True,Altman 운전자본/총자산 is identical to 순운전자본/총자산.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R119,R077,exact_value_alias,True,True,순운전자본/매출액 is identical to 운전자본/매출액.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R080,R079,exact_value_alias,True,True,EBIT 이자보상배율 is identical to 이자보상배율 under the current EBIT mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R086,R085,exact_value_alias,True,True,이자비용/매출액 uses the same numerator item code as 금융비용부담률; not an independent ratio in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R088,R089,exact_value_alias,True,True,이자비용/EBITDA uses the same numerator item code as 금융비용/EBITDA; keep the semantically accurate financial-cost ratio.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R131,R094,exact_value_alias,True,True,OCF/유동부채 duplicates the debt-service OCF/유동부채 ratio.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R114,R102,exact_value_alias,True,True,순차입금상환가능기간 is identical to 순차입금/EBITDA.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R127,R117,exact_value_alias,True,True,현금성자산/유동부채 is identical to 현금비율.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R164,R158,exact_value_alias,True,True,매출채권회수기간 is identical to 매출채권회전일수.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R163,R159,exact_value_alias,True,True,재고보유기간 is identical to 재고자산회전일수.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R165,R160,exact_value_alias,True,True,매입채무지급기간 is identical to 매입채무회전일수.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R172,R171,exact_value_alias,True,True,정상영업이익증가율 maps to the same executable formula as 영업이익증가율.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R173,R171,exact_value_alias,True,True,EBIT증가율 maps to the same executable formula as 영업이익증가율.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.
R185,R241,exact_value_alias,True,True,R185 and R241 are both 이익잉여금증가율 and value-identical in current Stage00_02 artifacts; keep R241 as current canonical selected growth variable.,duplicate audit / exact-value review,R185 weak-growth prior/floor policy must transfer to R241.
