table_id,chapter,title,class,evidence_source,result_ids,contract_ids,claim_ids,coverage_status,notes
T01,1,표 1-1. 연구질문과 분석대상,EXPERIMENT_CONTRACT,contract_registry,,contract_registry,TABLE_BINDING_T01,COMPLETE,Empirical table bound to frozen result/artifact registry.
T03_01,3,표 3-1. 연구자료와 분석역할,EXPERIMENT_CONTRACT,contract_registry,,contract_registry,TABLE_BINDING_T03_01,COMPLETE,Empirical table bound to frozen result/artifact registry.
T03_02,3,표 3-2. 최종 8차원 행동계약,EXPERIMENT_CONTRACT,contract.action.8d,,contract.action.8d,TABLE_BINDING_T03_02,COMPLETE,Empirical table bound to frozen result/artifact registry.
T03_03,3,표 3-3. 아홉 개 표준후보,EXPERIMENT_CONTRACT,contract.action.8d,,contract.action.8d,TABLE_BINDING_T03_03,COMPLETE,Empirical table bound to frozen result/artifact registry.
T03_04,3,표 3-4. LLM 정책조건과 핵심 대비,EXPERIMENT_CONTRACT,contract.llm.final_v43,,contract.llm.final_v43,TABLE_BINDING_T03_04,COMPLETE,Empirical table bound to frozen result/artifact registry.
T03_05,3,표 3-5. 최종 통계·재현성 계약,EXPERIMENT_CONTRACT,contract.statistics.v13,,contract.statistics.v13,CLAIM_DESIGN_GENERATIONS;CLAIM_DESIGN_STAGE8_ROWS;TABLE_BINDING_T03_05,COMPLETE,Empirical table bound to frozen result/artifact registry.
T04_01,4,표 4-1. 평가 하네스의 주요 검증결과,NUMERIC_EMPIRICAL,artifact.v13.frozen_capsule,,,CLAIM_ORACLE_ALPHA_FORWARD_ALIGNMENT;CLAIM_ORACLE_ALPHA_SPEARMAN;CLAIM_SIMULATOR_OOT_ALIGNMENT;TABLE_BINDING_T04_01,COMPLETE,Empirical table bound to frozen result/artifact registry.
T04_02,4,표 4-2. V4.3 후보행동에 대한 Oracle 구별력,NUMERIC_EMPIRICAL,artifact.v13.frozen_capsule,,,TABLE_BINDING_T04_02,COMPLETE,Empirical table bound to frozen result/artifact registry.
T04_03,4,표 4-3. C3-E의 구성과 최종 특성,NUMERIC_EMPIRICAL,artifact.distribution.v2_1_1_final,,,CLAIM_C3E_ACTION_COUNTS;CLAIM_C3E_ALPHA;CLAIM_C3E_DECISION_HASH;CLAIM_C3E_DELTA_C2_ALPHA;CLAIM_C3E_DELTA_OE_ALPHA;CLAIM_C3E_ENTROPY;CLAIM_C3E_RELEASE_HASH;CLAIM_C6EX_IDENTITY;TABLE_BINDING_T04_03,COMPLETE,Empirical table bound to frozen result/artifact registry.
T05_01,5,표 5-1. Baseline·Strict·B1의 Oracle-alpha 주 결과,NUMERIC_EMPIRICAL,artifact.distribution.v2_1_1_final,PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C4R_C4_ALPHA_1;PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C5_C4_ALPHA_1;PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C6_E_C4R_ALPHA_1;PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C6_E_C6_EX_ALPHA_1;PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C4R_C4_ALPHA_1;PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C5_C4_ALPHA_1;PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C6_E_C4R_ALPHA_1;PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C6_E_C6_EX_ALPHA_1,,CLAIM_T05_01_PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C4R_C4_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C5_C4_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C6_E_C4R_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GEMINI_BASELINE_STRICT_FREE8_B1_C6_E_C6_EX_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C4R_C4_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C5_C4_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C6_E_C4R_ALPHA_1_estimate;CLAIM_T05_01_PRIMARY_GPT_BASELINE_STRICT_FREE8_B1_C6_E_C6_EX_ALPHA_1_estimate;TABLE_BINDING_T05_01,COMPLETE,Empirical table bound to frozen result/artifact registry.
