analysis_id,key_json,key_sha256,seed_uint64,model,oracle,reasoning_regime,execution_policy,replicate,population,action_space,budget,information_condition,lhs,rhs,N,estimate,ci_low,ci_high,n_lt_zero,n_eq_zero,n_gt_zero,raw_p,bootstrap_draw_sha256,holm_family_id,statistical_path,holm_p,reject_05
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C4R"",""model"":""GEMINI"",""oracle"":""alpha"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4""}",c4e5fc68c0baa2bfa149e62f8430b4f9b585343aad06c2f94e1267b19e7a91c6,14188023727940870847,GEMINI,ALPHA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C4R,C4,575,-0.0389563679018802,-0.0858606730366859,0.0030157709605704,9649,0,351,0.0703929607039296,852d5b4ba10dfc99f1ce436cf2cf68767835e918e5d0b64d3abe90c4c998882e,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C4R"",""model"":""GEMINI"",""oracle"":""beta"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4""}",d535c2c5cdf3c233e115ef197813557c14d0d3d71a387f2d0f7cb2b71a0558b1,15363399858663965235,GEMINI,BETA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C4R,C4,575,-0.02049837693259,-0.0348896727061932,-0.0096320040005459,10000,0,0,0.0001999800019998,61485acb1bf2448bc1208a57185510c36d43797bedebf127cd6eb1574f9495c0,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,0.023997600239976002,True
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C4R"",""model"":""GEMINI"",""oracle"":""gamma"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4""}",008559ecf553deb3c7302d3902d5b738f5f02324781c1c5355dd594875c7aa13,37535046165585587,GEMINI,GAMMA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C4R,C4,575,-0.0130183556974263,-0.0336475910686204,0.0056433807128993,9114,0,886,0.1773822617738226,23b878649b5255a2b2a4fb615b57a47dbf66af6c7d2c2c94388b9053ff12bbdd,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C6-E"",""model"":""GEMINI"",""oracle"":""alpha"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4R""}",3135e4c84cf5195a8cba9124187e0b68dc45b3cfaff50b7b495b128764d95305,3545991830559856986,GEMINI,ALPHA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C6-E,C4R,575,0.043963715540386,-0.0035519247865545,0.0934985270338258,344,0,9656,0.068993100689931,2eae926f443587033b56823d1b9e971fa6f5a011378444392714d754d32e29d9,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C6-E"",""model"":""GEMINI"",""oracle"":""beta"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4R""}",db32c393de2e2a3cb3105526b60e2695079aafa327ab8e2a5a83bd8a0a383f87,15794901882996927036,GEMINI,BETA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C6-E,C4R,575,0.0070278699012458,-0.0125152057596574,0.0259801223010484,2267,0,7733,0.4535546445355464,1e7a7c5d8c0a415235aafb44c9a6c6d1029cc43bf2fd2635e84084768e36f746,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C6-E"",""model"":""GEMINI"",""oracle"":""gamma"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4R""}",22c75f4cfc3d55ec5fd3d8808478f9b0066b65e1692dee6fd734d095ac2c4a71,2506076501909001708,GEMINI,GAMMA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C6-E,C4R,575,0.0310977764226662,0.0091762274134813,0.0545972486966723,21,0,9979,0.0043995600439956,8b0c4944b768992fa0983728cfb753a292d8c471105f86f5ea9c940338103fc9,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,0.395960403959604,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C4R"",""model"":""GPT"",""oracle"":""alpha"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4""}",7f61bea8ca15ca6cf8b9d2b5667a1143cc5b461f04177cfe0f6ac444b8f1f84b,9178827147711990380,GPT,ALPHA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C4R,C4,575,0.0018226514987759,-0.0101996682089023,0.0120562728901575,3504,31,6465,0.7071292870712929,30ae5b7d7f639a692074e04f07646909342f94b7b1eb44cc4d9028e16dd87690,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C4R"",""model"":""GPT"",""oracle"":""beta"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4""}",8bf27684dcfb0d2c8889d33afe3d72ab055991e1df747b0a9f4ff6fb7877a9be,10084252828651162924,GPT,BETA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C4R,C4,575,0.0003507831884494,-0.0123007689011555,0.0098035898719802,4343,0,5657,0.8687131286871312,ca0acf2cc2520be98a4da1b6aec09683c015120b93fedff3021fbfd54aff0816,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C4R"",""model"":""GPT"",""oracle"":""gamma"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4""}",7985902850fba3c9c4347d4313358c9b196a7e030f71acba93a1d2f4ab37bd8f,8756563553323557833,GPT,GAMMA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C4R,C4,575,-0.0029803903579632,-0.0087972466450755,0.0022188258123162,8637,1,1362,0.2727727227277272,a863777bffa916439c4e37d709476e4a3d3793d0958d301b8b971f8e0092af30,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,1.0,False
SUPPLEMENTAL_HISTORICAL_ROW,"{""action_space"":""CANDIDATE9"",""analysis_id"":""SUPPLEMENTAL_HISTORICAL_ROW"",""budget"":""B1"",""execution_policy"":""REPAIRED"",""information_condition"":""IC-b"",""lhs"":""C6-E"",""model"":""GPT"",""oracle"":""alpha"",""population"":""ITT"",""reasoning_regime"":""BASELINE"",""replicate"":""RUN1"",""rhs"":""C4R""}",ae010d6129153aa1694289d4d41ca1afd777d0d7da76ab26cc9f59826304a684,12538317548528417441,GPT,ALPHA,BASELINE,REPAIRED,1,ITT,CANDIDATE9,B1,IC-b,C6-E,C4R,575,0.1096601216094353,0.0455031655425028,0.1761502070583786,2,0,9998,0.0005999400059994,1611f454058a055810a246ed58bcbd781a02936cae5b5d3fd62997e83fcc61cf,REPAIRED_SUPPLEMENTAL,V13_SUPPLEMENTAL_SHA256_STREAM,0.05999400059993999,False
