reasoning_regime,model,budget,firm_key,c4_strict_usable,gate_applied
BASELINE,GEMINI,B1,000020::2024,False,True
BASELINE,GEMINI,B1,000100::2024,True,False
BASELINE,GEMINI,B1,000250::2024,False,True
BASELINE,GEMINI,B1,000670::2024,False,True
BASELINE,GEMINI,B1,000680::2024,False,True
BASELINE,GEMINI,B1,000700::2024,False,True
BASELINE,GEMINI,B1,000860::2024,False,True
BASELINE,GEMINI,B1,000990::2024,False,True
BASELINE,GEMINI,B1,001060::2024,True,False
BASELINE,GEMINI,B1,001120::2024,False,True
BASELINE,GEMINI,B1,001210::2024,False,True
BASELINE,GEMINI,B1,001230::2024,False,True
BASELINE,GEMINI,B1,001340::2024,False,True
BASELINE,GEMINI,B1,001540::2024,False,True
BASELINE,GEMINI,B1,001560::2024,False,True
BASELINE,GEMINI,B1,001620::2024,True,False
BASELINE,GEMINI,B1,001740::2024,False,True
BASELINE,GEMINI,B1,001780::2024,False,True
BASELINE,GEMINI,B1,001940::2024,False,True
BASELINE,GEMINI,B1,002150::2024,False,True
BASELINE,GEMINI,B1,002240::2024,False,True
BASELINE,GEMINI,B1,002380::2024,False,True
BASELINE,GEMINI,B1,002410::2024,False,True
BASELINE,GEMINI,B1,002630::2024,False,True
BASELINE,GEMINI,B1,002690::2024,False,True
BASELINE,GEMINI,B1,002780::2024,False,True
BASELINE,GEMINI,B1,002900::2024,False,True
BASELINE,GEMINI,B1,002990::2024,False,True
BASELINE,GEMINI,B1,003010::2024,False,True
BASELINE,GEMINI,B1,003160::2024,False,True
BASELINE,GEMINI,B1,003220::2024,True,False
BASELINE,GEMINI,B1,003380::2024,False,True
BASELINE,GEMINI,B1,003800::2024,False,True
BASELINE,GEMINI,B1,003850::2024,True,False
BASELINE,GEMINI,B1,004090::2024,False,True
BASELINE,GEMINI,B1,004310::2024,False,True
BASELINE,GEMINI,B1,004430::2024,False,True
BASELINE,GEMINI,B1,004800::2024,True,False
BASELINE,GEMINI,B1,004840::2024,True,False
BASELINE,GEMINI,B1,005030::2024,False,True
BASELINE,GEMINI,B1,005160::2024,False,True
BASELINE,GEMINI,B1,005180::2024,True,False
BASELINE,GEMINI,B1,005320::2024,False,True
BASELINE,GEMINI,B1,005380::2024,False,True
BASELINE,GEMINI,B1,005430::2024,False,True
BASELINE,GEMINI,B1,005750::2024,True,False
BASELINE,GEMINI,B1,005820::2024,False,True
BASELINE,GEMINI,B1,005850::2024,True,False
BASELINE,GEMINI,B1,005870::2024,False,True
BASELINE,GEMINI,B1,005880::2024,True,False
BASELINE,GEMINI,B1,005950::2024,False,True
BASELINE,GEMINI,B1,005960::2024,True,False
BASELINE,GEMINI,B1,006140::2024,False,True
BASELINE,GEMINI,B1,006280::2024,False,True
BASELINE,GEMINI,B1,006490::2024,False,True
BASELINE,GEMINI,B1,006620::2024,True,False
BASELINE,GEMINI,B1,006890::2024,False,True
BASELINE,GEMINI,B1,007120::2024,False,True
BASELINE,GEMINI,B1,007390::2024,False,True
BASELINE,GEMINI,B1,007680::2024,False,True
BASELINE,GEMINI,B1,007770::2024,False,True
BASELINE,GEMINI,B1,007820::2024,False,True
BASELINE,GEMINI,B1,008040::2024,False,True
BASELINE,GEMINI,B1,008350::2024,False,True
BASELINE,GEMINI,B1,009180::2024,True,False
BASELINE,GEMINI,B1,009200::2024,False,True
BASELINE,GEMINI,B1,009310::2024,False,True
BASELINE,GEMINI,B1,009320::2024,True,False
BASELINE,GEMINI,B1,009450::2024,False,True
BASELINE,GEMINI,B1,009520::2024,False,True
BASELINE,GEMINI,B1,009540::2024,False,True
BASELINE,GEMINI,B1,009580::2024,False,True
BASELINE,GEMINI,B1,009620::2024,False,True
BASELINE,GEMINI,B1,010060::2024,False,True
BASELINE,GEMINI,B1,010130::2024,False,True
BASELINE,GEMINI,B1,010140::2024,False,True
BASELINE,GEMINI,B1,010170::2024,False,True
BASELINE,GEMINI,B1,010240::2024,False,True
BASELINE,GEMINI,B1,010280::2024,True,False
BASELINE,GEMINI,B1,010690::2024,True,False
BASELINE,GEMINI,B1,011040::2024,False,True
BASELINE,GEMINI,B1,011200::2024,False,True
BASELINE,GEMINI,B1,011230::2024,False,True
BASELINE,GEMINI,B1,011370::2024,False,True
BASELINE,GEMINI,B1,011420::2024,False,True
BASELINE,GEMINI,B1,011760::2024,True,False
BASELINE,GEMINI,B1,012330::2024,False,True
BASELINE,GEMINI,B1,012340::2024,False,True
BASELINE,GEMINI,B1,012510::2024,True,False
BASELINE,GEMINI,B1,012750::2024,False,True
BASELINE,GEMINI,B1,013030::2024,False,True
BASELINE,GEMINI,B1,013120::2024,False,True
BASELINE,GEMINI,B1,013360::2024,False,True
BASELINE,GEMINI,B1,013700::2024,False,True
BASELINE,GEMINI,B1,013720::2024,False,True
BASELINE,GEMINI,B1,013810::2024,False,True
BASELINE,GEMINI,B1,013870::2024,True,False
BASELINE,GEMINI,B1,014190::2024,False,True
BASELINE,GEMINI,B1,014200::2024,False,True
BASELINE,GEMINI,B1,014530::2024,False,True
BASELINE,GEMINI,B1,014580::2024,False,True
BASELINE,GEMINI,B1,014830::2024,False,True
BASELINE,GEMINI,B1,014970::2024,False,True
BASELINE,GEMINI,B1,015230::2024,False,True
BASELINE,GEMINI,B1,015710::2024,False,True
BASELINE,GEMINI,B1,015890::2024,True,False
BASELINE,GEMINI,B1,016100::2024,False,True
BASELINE,GEMINI,B1,016450::2024,True,False
BASELINE,GEMINI,B1,016740::2024,True,False
BASELINE,GEMINI,B1,016880::2024,False,True
BASELINE,GEMINI,B1,017000::2024,False,True
