field_order,field_key,type,visible_in,unit,year_rule,formula,canonical_accounts,denominator_rule,missing_rule,serialization,english_definition,source_binding,notes
"1","derived__debt_to_assets","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(total_liabilities,total_assets)","total_liabilities|total_assets","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Total liabilities divided by total assets; not interest-bearing debt divided by assets.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"2","derived__equity_to_assets","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(total_equity,total_assets)","total_equity|total_assets","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Total equity divided by total assets.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"3","derived__current_ratio","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(current_assets,current_liabilities)","current_assets|current_liabilities","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Current assets divided by current liabilities.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"4","derived__cash_ratio","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(cash,current_liabilities)","cash|current_liabilities","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Cash and cash equivalents divided by current liabilities.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"5","derived__operating_margin","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(operating_income,revenue)","operating_income|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Operating income divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"6","derived__gross_margin","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(gross_profit,revenue)","gross_profit|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Gross profit divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"7","derived__net_margin","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(net_income,revenue)","net_income|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Net income divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"8","derived__roa_proxy","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(net_income,total_assets)","net_income|total_assets","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Net income divided by end-of-year total assets; not average-assets ROA.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"9","derived__cogs_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(cogs,revenue)","cogs|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Cost of goods sold divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"10","derived__sga_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(sga,revenue)","sga|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Selling, general and administrative expenses divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"11","derived__financial_cost_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(financial_cost,revenue)","financial_cost|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Broad financial cost divided by revenue; not pure interest expense.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"12","derived__capex_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(capex,revenue)","capex|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Canonical capital expenditure divided by revenue; no inferred proxy substitution.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"13","derived__ppe_to_assets","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(ppe,total_assets)","ppe|total_assets","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Net property, plant and equipment divided by total assets.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"14","derived__short_debt_to_total_debt","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(short_term_debt,interest_bearing_total_debt)","short_term_debt|current_portion_long_debt|long_term_debt|bonds","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Short-term borrowings divided by interest-bearing total debt.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","interest_bearing_total_debt=short_term_debt+current_portion_long_debt+long_term_debt+bonds; all four required"
